OBJECTID,old_dam_name,osm_name,distance_m,Latitude,Longitude
8013,Low-Head Dam (18312),Fairbank Dam,3.3,42.63962937,-92.05224204
8015,Low-Head Dam (18339),Chickahominy Mill Dam,3.3,37.69471945,-77.49163622
8029,Low-Head Dam (20221),McComas Dam,10.2,39.4563,-79.4648
8046,Low-Head Dam (20467),Leech Dam,15.6,47.24779644,-94.22156447
8049,Low-Head Dam (20483),Windom Dam,7.7,43.85985,-95.12033
8057,Low-Head Dam (20591),Wild Rice Lake Dam,23.4,46.90917,-92.16242
8064,Low-Head Dam (20671),Pennsylvania Railroad Dam,3.0,40.1600135,-75.10635035
8067,Low-Head Dam (20995),New England Power Company Number 3 Dam,27.1,42.60200048,-72.73922117
8078,Low-Head Dam (18453),Fraser Milldam,13.9,42.12591174,-93.97677143
8084,Low-Head Dam (18483),Cockram Mill Dam,1.7,36.73669131,-80.38210214
8088,Low-Head Dam (18550),Morrison West Chain Lake Level Control Structure Dam,23.0,42.013732,-85.061692
8105,Low-Head Dam (18840),Rustford Dam,14.7,43.507047,-85.336814
8119,Low-Head Dam (19020),Garanbuio Dam,31.7,35.3193,-105.415
8142,Low-Head Dam (19230),Marble Rock Milldam,8.5,42.96539067,-92.87112942
8158,Low-Head Dam (19408),Nora Springs Low Head Dam,7.1,43.14727605,-93.01416255
8162,Low-Head Dam (19478),Stinson Weir 696,22.4,36.460705,-119.9936127
8165,Low-Head Dam (19600),Pine Mountain State Park Lake Dam,9.5,36.74194161,-83.6930496
8173,Low-Head Dam (19883),Baldwin Lake Dam,7.8,41.36307,-81.8555
8227,Low-Head Dam (13335),Hendrickson Dam,3.9,26.98496,-81.93578
8265,Low-Head Dam (14370),Philadelphia Dam,7.0,44.15780321,-75.70889716
8266,Low-Head Dam (14419),The Old Mill Dam,0.7,35.788315,-83.554146
8285,Low-Head Dam (13719),Beldens Pond Dam,8.5,42.72191,-73.6724
8297,Low-Head Dam (13787),Glen Park Mill C Dam,8.7,43.99994,-75.9617
8299,Low-Head Dam (13806),Lock Number 5,16.1,38.05198839,-84.83051671
8325,Low-Head Dam (14080),Walter Hill Dam,9.0,35.942661,-86.376927
8350,Low-Head Dam (12992),Osborne Diversion Dam,1.5,39.43505003,-98.71686221
8359,Low-Head Dam (13156),Chittenango Creek Dam,13.1,43.05641,-75.8712
8383,Low-Head Dam (24066),Cullowhee Dam,11.1,35.3152,-83.1759
8388,Low-Head Dam (24090),Cox Lake Dam,17.0,35.75797,-79.7523
8395,Low-Head Dam (24207),Weldons Pond Dam,23.7,36.2903,-78.3212
8397,Low-Head Dam (24238),Hillsboro Dam,7.1,47.408,-97.0606
8399,Low-Head Dam (24248),Burlington Dam 3,34.3,48.2891,-101.42
8400,Low-Head Dam (24243),Mayville Dam,3.9,47.4965341,-97.3316651
8402,Low-Head Dam (24222),Katz Dam,30.6,47.24307,-100.95
8415,Low-Head Dam (13674),Mt Ida Falls Dam,10.6,42.72142,-73.6765
8419,Low-Head Dam (13108),Chase-Hibbard Dam,33.6,42.08581,-76.81
8425,Low-Head Dam (25367),Diversion Dam,28.6,40.383805,-109.859251
8436,Low-Head Dam (25547),Livezey Dam,8.6,40.04923687,-75.21377481
8530,Low-Head Dam (24445),Tierrecita Vallejo Dam,25.0,48.22815,-101.344
8533,Low-Head Dam (23843),Washington Mills Dam,4.7,36.41839,-79.9624
8549,Low-Head Dam (23964),Siler City Water Supply Lake Number One Dam,2.5,35.79546,-79.4775
8550,Low-Head Dam (23955),US Lock and Dam Number 2,29.7,34.62694,-78.5773
8558,Low-Head Dam (21291),Arcadia Diversion Dam,21.9,41.4903788,-99.23994272
8578,Low-Head Dam (21357),Old Berkshire Mill Dam,5.0,42.47030376,-73.17613626
8579,Low-Head Dam (21358),Pumping Station Dam,6.1,42.64683597,-72.62053488
8580,Low-Head Dam (21369),Marble Dam,3.2,42.7081,-73.09280721
8585,Low-Head Dam (21382),Kilpatrick Dam,23.8,40.47007146,-101.8364714
8593,Low-Head Dam (25636),Yanceyville Dam,4.2,37.93825329,-77.98301151
8602,Low-Head Dam (21265),Woods Pond Dam,12.0,42.34717144,-73.24493864
8603,Low-Head Dam (21264),Mill Pond Dam,3.1,42.15883403,-73.42175457
8605,Low-Head Dam (21271),Roberts Meadow Middle Reservoir Dam,12.6,42.35188146,-72.70989459
8606,Low-Head Dam (21267),Crescent Mills Dam,4.8,42.22145067,-72.85912711
8611,Low-Head Dam (21279),Windsor Reservoir Dam,8.1,42.48838118,-73.11000467
8614,Low-Head Dam (21461),Columbia Mill Dam,6.1,42.31750482,-73.24740843
8616,Low-Head Dam (21465),Bog Pond Dam,11.0,42.64037353,-73.03328156
8617,Low-Head Dam (21464),Hayden Pond Dam,15.0,42.22995754,-73.1117184
8618,Low-Head Dam (21472),Kearney Diversion Dam,12.1,40.68714988,-99.35149502
8665,Low-Head Dam (25560),Woolen Mill Dam,9.3,41.5767,-75.28026111
8677,Low-Head Dam (22365),Bowersock Dam,16.7,38.97518932,-95.23530981
8678,Low-Head Dam (22370),Green River Lock and Dam 1,10.6,37.85849545,-87.41056895
8681,Low-Head Dam (25657),Anderson-Cottonwood Diversion 51-000 Dam,4.3,40.59284058,-122.3942604
8694,Low-Head Dam (21448),Stockbridge Bowl Dam,19.9,42.32031029,-73.32938753
8699,Low-Head Dam (21449),Stevens Paper Company Lower Dam,2.0,42.1112575,-72.76634939
8706,Low-Head Dam (20461),Scanlon East Channel Dam,7.6,46.70868568,-92.41695763
8707,Low-Head Dam (19866),Union Cemetary Dam,2.3,40.02207,-83.0196
8727,Low-Head Dam (22446),Irish-American Dam,3.3,40.21740726,-118.42438714
8731,Low-Head Dam (22608),Citizens Water Company Dam,3.1,41.00041323,-79.33590562
8740,Low-Head Dam (22425),Country Club Dam,1.1,40.2070085,-75.38629561
8766,Low-Head Dam (15905),Grand Falls Dam,31.2,37.032462,-94.542095
8778,Low-Head Dam (22476),Rodgers Dam,1.2,40.19871444,-118.44188427
8784,Low-Head Dam (18238),Lake Rutledge Dam,46.7,33.63862,-83.5798
8799,Low-Head Dam (22512),Plum Canyon 139 Dam,31.4,41.4416054,-120.3798134
8807,Low-Head Dam (20680),Wetherills Dam,5.8,40.12287445,-75.44678367
8811,Low-Head Dam (20078),Williamsport Power Plant Dam,2.1,39.59508591,-77.82936043
8818,Low-Head Dam (20234),Ontario Millpond Dam,1.7,41.70720141,-85.37544381
8851,Low-Head Dam (23048),Bard Springs Dam Number 2,3.5,34.39085,-94.0101
8862,Low-Head Dam (23064),Big Weir Bridge,3.8,36.10649725,-115.02116849
8969,Low-Head Dam (23322),weir dam,10.1,40.21214842,-105.392748
8994,Low-Head Dam (23265),Prosser Dam,46.5,46.213188,-119.772811
9007,Low-Head Dam (23480),Lock and Dam 3,5.5,38.12107358,-82.60994903
9027,Low-Head Dam (23664),Randolph Mill Dam,11.8,35.74353,-79.7031
9030,Low-Head Dam (23665),Hardys Mill Pond Dam,12.5,36.18162,-79.7092
9031,Low-Head Dam (23670),Old Fort Water Supply Dam,9.4,35.6436,-82.2095
9035,Low-Head Dam (23678),Reasonover Lake Dam,2.6,35.16305,-82.5984
9111,Low-Head Dam (17026),Sutton Ford Dam,4.8,35.844366,-84.988401
9114,Low-Head Dam (17028),Monterey Reservior Dam,15.8,36.116737,-85.186852
9137,Low-Head Dam (14903),Beeds Lake Dam,1.1,42.76999704,-93.2359027
9148,Low-Head Dam (14920),Stella Dam,3.4,46.39288405,-108.605763
9171,Low-Head Dam (17055),Five-in-One Dam,46.1,41.97913734,-91.67270685
9212,Low-Head Dam (17106),Riverside Dam,46.1,35.620339,-87.020806
9216,Low-Head Dam (17107),McMinnville Water Supply Dam,2.0,35.674846,-85.777112
9227,Low-Head Dam (14955),North Division Street Dam,15.6,42.93205647,-76.58477415
