OBJECTID,huc_dir,has_strm,has_dem,has_land,has_flow,has_arc,has_analysis,q_ep_50,rp100,qmin_env,qmax_env,dam_height_m,solver_bracket_source,terminal_stage,terminal_reason,raw_reason,Dam_Name,State Abbreviation,Reach_ID,OSM_Name,HUC8
18789,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Megunticook East,ME,2686030.0,,1050002.0
18790,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Megunticook West,ME,2686030.0,,1050002.0
18792,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Pitcher Pond,ME,2685874.0,,1050002.0
18801,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Mill Dam,ME,2677960.0,,1050004.0
18861,huc6_010500,False,False,False,False,False,False,,,,,,,stage_no_strm,no nhd_flowline_*.gpkg under STRM/<id>/,,Low-Head Dam (20044),ME,,Norwood Cove Dam,1050002.0
18961,huc6_010500,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Eagle Lake,ME,2692072.0,,1050002.0
2317,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,,ME,9314029.0,Upper Kezar Falls - Approach Channel Dam,1060002.0
5548,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,6720459.0,,1060001.0
5551,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,6718935.0,,1060001.0
6279,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,327,ME,5845546.0,,1060003.0
6288,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,9311271.0,,1060002.0
6294,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Placemark,ME,9313473.0,,1060002.0
18192,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Upper Kimball Pond Dam,NH,9311957.0,,1060002.0
18513,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Low-Head Dam (19454),ME,6719485.0,,1060001.0
18572,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,New River Channel Dam                                            ,ME,9320077.0,,1060002.0
18576,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Ledgemere                                                        ,ME,9314557.0,,1060002.0
18578,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Swans Falls                                                      ,ME,9311275.0,,1060002.0
18601,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Keewaydin Lake,ME,6719187.0,,1060001.0
18841,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Springs Island                                                   ,ME,9316901.0,,1060002.0
18930,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Low-Head Dam (20246),ME,6720599.0,Songo Lock Dam,1060001.0
19226,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Low-Head Dam (20930),NH,5847468.0,Branch River Dam Number 1,1060003.0
19823,huc6_010600,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Low-Head Dam (25578),NH,5845934.0,,1060003.0
3498,huc6_010700,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Freeman Lake Inlet Canal Diversion Works,MA,6745100.0,,1070006.0
3499,huc6_010700,True,True,False,False,False,False,,,,,,,stage_no_land,missing constant_land.tif + Manning_n.txt under LAND/<id>/,,Victory Lane Dam,MA,6744968.0,,1070006.0
